fid,site_code,context_name,parent_context,parent_id,type,chron_orig,c_appr,typology,c_notes,site_name_brain,macro_context_name,site_id,source_type,source,bibliography,region,province,chronology_iccd,parent_chronology_iccd
"82",CLA58,Pit 181 - context 227 - 1390 AD,Tarquinia - Palazzo Vitelleschi (settlement) ,"81",micro,1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,Basso Medioevo,Medioevo
"85",CLA72,1 (Santa Severa - Pyrgi - well),Santa Severa - Pyrgi - well (settlement),"84",micro,,"3",underwater,,,,"827",,,,Lazio,Roma,Periodo Etrusco Arcaico,Periodo Etrusco
"86",CLA72,2 (Santa Severa - Pyrgi - well),Santa Severa - Pyrgi - well (settlement),"84",micro,,"3",underwater,,,,"827",,,"Kodýdková, K.,_Beneš, J.,_Komárková, V.,_Paclíková, K._2013_Pilot archaeobotanical analysis of the sediment the well 112 in Pyrgi, Santa Severa_Archaeologia maritima mediterranea: International Journal on Underwater Archaeology: 10, 2013_181-190",Lazio,Roma,Periodo Etrusco Arcaico,Periodo Etrusco
"87",CLA72,Vessel B (Santa Severa - Pyrgi - well),Santa Severa - Pyrgi - well (settlement),"84",micro,,"3",underwater,,,,"827",,,,Lazio,Roma,Periodo Etrusco Arcaico,Periodo Etrusco
"92",CMA1,via Cavallotti 24 - Pre-roman phase,Senigallia (settlement),"91",micro,Fase Pre romana(V - IV sec a.C.),"3",settlement,,Senigallia,,"458",,,"Lepore, G.,_Ciuccarelli, M. R.,_Assenti, G.,_Belfiori, F.,_Boschi, F.,_Carra, M.,_Visani, F._2012_Progetto “archeologia urbana a Senigallia” I: le ricerche di via Cavallotti_FOLD&R_248, 1-19",Marche,Ancona,,Periodo Arcaico (Roma)
"93",CMA1,via Cavallotti 24 - First Roman phase,Senigallia (settlement),"91",micro,Fase romana I(Fine III - II sec a.C),"3",settlement,A productive function or at least the rustic character of the structure (perhaps characteristic of a courtyard area combining open spaces with small production activities),Senigallia,,"458",,,"Lepore, G.,_Ciuccarelli, M. R.,_Assenti, G.,_Belfiori, F.,_Boschi, F.,_Carra, M.,_Visani, F._2012_Progetto “archeologia urbana a Senigallia” I: le ricerche di via Cavallotti_FOLD&R_248, 1-19",Marche,Ancona,,Periodo Repubblicano (Roma)
"94",CMA1,via Cavallotti 24- Second Roman phase,Senigallia (settlement),"91",micro,Fase romana II(Fine II - I sec a.C.),"3",settlement,This is a functional area for the collection of water or other drinks,Senigallia,,"458",,,"Lepore, G.,_Ciuccarelli, M. R.,_Assenti, G.,_Belfiori, F.,_Boschi, F.,_Carra, M.,_Visani, F._2012_Progetto “archeologia urbana a Senigallia” I: le ricerche di via Cavallotti_FOLD&R_248, 1-19",Marche,Ancona,Periodo Tardo Repubblicano (Roma),Periodo Repubblicano (Roma)
"95",CMA1,via Cavallotti 24 - Third Roman phase,Senigallia (settlement),"91",micro,Fase romana III(XII - XIII sec a.C),"3",settlement,This is a functional area for the collection of water or other drinks,Senigallia,,"458",,,"Lepore, G.,_Ciuccarelli, M. R.,_Assenti, G.,_Belfiori, F.,_Boschi, F.,_Carra, M.,_Visani, F._2012_Progetto “archeologia urbana a Senigallia” I: le ricerche di via Cavallotti_FOLD&R_248, 1-19",Marche,Ancona,,da identificare
"97",CMA3,Giardino della Domus dei Coiedii - Gruppo 1,Suasa (settlement),"96",micro,Gruppo 1: costruzione del giardino e dell'impianto termale(epoca medio-imperiale),"3",settlement,,Suasa,,"460",,,"Giorgi, E.,_Lepore, G.,_Carra, M._2010_Archeologia nella valle del Cesano da Suasa a Santa Maria in Portuno_Atti del Convegno per i venti anni di ricerche dell’Università di Bologna (Castelleone di Suasa, Corinaldo, San Lorenzo in Campo, 18-19 dicembre 2008), Bologna_121-124",Marche,Ancona,Età tardoimperiale,Periodo Imperiale (Roma)
"110",CTO11,US 11023 - phase 3,Podere Marzuolo (settlement),"105",micro,Phase 3(Late II- early III century AD),"3",settlement,,Podere Marzuolo,,"648",,,"Mercuri, A.M.,_Rattighieri, E.,_Rinaldi, R._2021_The Roman Peasant Project 2009-2014: Excavating the Roman Rural Poor (Vol. 154)_University of Pennsylvania Press_317-336",Toscana,Grosseto,Età altoimperiale,Periodo Imperiale (Roma)
"111",CTO11,US 11044 - phase 3,Podere Marzuolo (settlement),"105",micro,Phase 3(Late II- early III century AD),"3",settlement,,Podere Marzuolo,,"648",,,"Mercuri, A.M.,_Rattighieri, E.,_Rinaldi, R._2021_The Roman Peasant Project 2009-2014: Excavating the Roman Rural Poor (Vol. 154)_University of Pennsylvania Press_317-336",Toscana,Grosseto,Età altoimperiale,Periodo Imperiale (Roma)
"113",CTO20,Area D(SU 169) - Pre-settlement phase,Stagno - Pratini dell'Argin Traverso (settlement),"112",micro,Pre-settlement phase(XII–XI century BC)),"3",settlement,,Stagno - Pratini dell'Argin Traverso,,"657",,,"Giachi, G.,_Secci, M. M.,_Pignatelli, O.,_Gambogi, P.,_Lippi, M. M._2010_The prehistoric pile-dwelling settlement of Stagno (Leghorn, Italy): wood and food resource exploitation_Journal of Archaeological Science, 37(6)_1260-1268",Toscana,Livorno,Età del Bronzo finale,Età del Bronzo
"115",CTO20,Area D(SU 113/3) - Settlement phase,Stagno - Pratini dell'Argin Traverso (settlement),"112",micro,Settlement phase(XII–XI century BC)),"3",settlement,,Stagno - Pratini dell'Argin Traverso,,"657",,,"Giachi, G.,_Secci, M. M.,_Pignatelli, O.,_Gambogi, P.,_Lippi, M. M._2010_The prehistoric pile-dwelling settlement of Stagno (Leghorn, Italy): wood and food resource exploitation_Journal of Archaeological Science, 37(6)_1260-1268",Toscana,Livorno,Età del Bronzo finale,Età del Bronzo
"116",CTO20,Area D(SU 113/3) - abandonment phase,Stagno - Pratini dell'Argin Traverso (settlement),"112",micro,abandonment phase(XII–XI century BC)),"3",settlement,,Stagno - Pratini dell'Argin Traverso,,"657",,,"Giachi, G.,_Secci, M. M.,_Pignatelli, O.,_Gambogi, P.,_Lippi, M. M._2010_The prehistoric pile-dwelling settlement of Stagno (Leghorn, Italy): wood and food resource exploitation_Journal of Archaeological Science, 37(6)_1260-1268",Toscana,Livorno,Età del Bronzo finale,Età del Bronzo
"119",CAB1,Trench 8000(context:8041),Trench 8000,"117",micro,Iron Age(local phase: 3a),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"123",CAB1,Trench 10000(context:10007),Trench 10000,"118",micro,Roman(local phase: 2b),"3",settlement,,Acquachiara,Trench 10000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,Età altoimperiale,Periodo Imperiale (Roma)
"124",CAB1,Trench 8000(context:8053),Trench 8000,"117",micro,Iron Age(local phase: 5),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"125",CAB1,Trench 10000(context:10022),Trench 10000,"118",micro,Roman(local phase: 2b),"3",settlement,,Acquachiara,Trench 10000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,Età altoimperiale,Periodo Imperiale (Roma)
"127",CAB1,Trench 8000(context:8058),Trench 8000,"117",micro,Iron Age(local phase: 3a),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"129",CAB1,Trench 8000(context:8017),Trench 8000,"117",micro,Iron Age(local phase: 5),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"130",CAB1,Trench 8000(context:8011),Trench 8000,"117",micro,Iron Age(local phase: 5),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"137",CAB1,Trench 8000(context:8006),Trench 8000,"117",micro,Iron Age(local phase: 5),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"138",CAB1,Trench 8000(context:8015),Trench 8000,"117",micro,Iron Age(local phase: 5),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"139",CAB1,Trench 8000(context:8060),Trench 8000,"117",micro,Iron Age(local phase: 5),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"140",CAB1,Trench 10000(context:10011),Trench 10000,"118",micro,Roman(local phase: 2a),"3",settlement,,Acquachiara,Trench 10000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,Età altoimperiale,Periodo Imperiale (Roma)
"141",CAB1,Trench 8000(context:8070),Trench 8000,"117",micro,Iron Age(local phase: 3a),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"144",CAB1,Trench 8000(context:8012),Trench 8000,"117",micro,Iron Age(local phase: 4a),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"145",CAB1,Trench 8000(context:8033),Trench 8000,"117",micro,Iron Age(local phase: 3a),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"146",CAB1,Trench 8000(context:8031),Trench 8000,"117",micro,Iron Age(local phase: 3a),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"148",CAB1,Trench 8000(context:8045),Trench 8000,"117",micro,Iron Age(local phase: 2),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"150",CAB1,Trench 8000(context:8052),Trench 8000,"117",micro,Iron Age(local phase: 5),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"153",CAB1,Trench 8000(context:8067),Trench 8000,"117",micro,Iron Age(local phase: 4a),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"156",CAB1,Trench 8000(context:8054),Trench 8000,"117",micro,Iron Age(local phase: 5),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"157",CAB1,Trench 8000(context:8026),Trench 8000,"117",micro,Iron Age(local phase: 6),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"158",CAB1,Trench 8000(context:undet. (Acquachiara)),Trench 8000,"117",micro,Iron Age(local phase: 7),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"159",CAB1,Trench 10000(context:7011),Trench 10000,"118",micro,Roman(local phase: 2a),"3",settlement,,Acquachiara,Trench 10000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,Età altoimperiale,Periodo Imperiale (Roma)
"166",CAB1,Trench 8000(context:8075),Trench 8000,"117",micro,Iron Age(local phase: 4a),"3",settlement,,Acquachiara,Trench 8000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,,Età del Ferro
"167",CAB1,Trench 10000(context:Small pit),Trench 10000,"118",micro,30-130 AD,"3",settlement,,Acquachiara,Trench 10000,"2",,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361",Abruzzo,Chieti,Età altoimperiale,Periodo Imperiale (Roma)
"203",CAB6,undet. (Celano - Le paludi) - 17th-10th century BC,Celano - Le paludi (settlement),"202",micro,17th-10th century BC,"3",undet.,,Alba Fucens,,"1",,,"Coubray, S._1991_Indagini paletnobotaniche presso il sito abruzzese di età protostorica delle Paludi di Celano_""Atti del Convegno di Archeologia” Il Fucino e le aree limitrofe nell’antichità, Avezzano 1989_174-198",Abruzzo,L'Aquila,,Età del Bronzo
"213",CLA1,Fossa 39,Selva dei Muli (settlement),"211",micro,Eneolitico - Fase D - facies Laterza,"3",settlement,,Selva dei Muli,,"264",,,"Celant, A._2011_Antracologia, utilizzazione del legno e ricostruzione paleoambientale dell’insediamento eneolitico di Selva dei Muli (Frosinone)_ORIGINI, 33_233-237",Lazio,Frosinone,Laterza (facies),Eneolitico
"228",CLA7,undet. (Rieti - Cures Sabini),Rieti - Cures Sabini (settlement),"227",micro,VIII - VII sec. a.C.,"3",undet.,,,,"849",,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233",Lazio,Rieti,Seconda età del Ferro,Età del Ferro
"229",CLA7,A2 - Capanna,Rieti - Cures Sabini (settlement),"227",micro,ultimo quarto dell'VIII sec. a.C.,"3",settlement,,,,"849",,,"Costantini, L.,_Costantini Biasini, L._1988_Paleoetnobotanica - Nota preliminare_Cures Sabini: risultati della sesta campagna di scavo. Archeologia Laziale IX, QuadAEI (16)_331-332",Lazio,Rieti,Seconda età del Ferro,Età del Ferro
"261",CLA15,Atrium Vestae - Hut 1 - floor,Roma - Fori Imperial (settlement),"259",micro,8th-7th century BC,"3",settlement,,Roma - Fori Imperiali,,"276",,,"Costantini, L.,_Giorgi, J.A_2009_The charred plant remains_Supplements to the Memoirs of the American Academy in Rome, 8_ 125-151 ; Vaccaro; E.; Ghisleni; M.; Arnoldus-Huyzendveld; A.; Grey; C.; Bowes; K.; MacKinnon; M.; Mercuri; A.M.; Pecci; A.; Cau Ontiveros; M.A.; Rattigheri; E.; Rinaldi; R.. 2013.0. ""Excavating the Roman peasant II: excavations at Case Nuove, Cinigiano (GR) 1""",Lazio,Roma,Prima età del Ferro,Età del Ferro
"263",CLA15,undet. (Roma Fori Imperiali),Roma - Fori Imperial (undet.),"258",micro,VII sec. a.C.,"3",undet.,,Roma - Fori Imperiali,,"276",,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233",Lazio,Roma,,Periodo Arcaico (Roma)
"264",CLA15,Palatine SW - undet. (Roma Fori Imperiali),Roma - Fori Imperial (settlement),"259",micro,6th-5th centuries BC,"3",settlement,,Roma - Fori Imperiali,,"276",,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248",Lazio,Roma,Prima Repubblica (Roma),Periodo Repubblicano (Roma)
"265",CLA15,Via Sacra/Forum - undet. (Roma - Fori Imperiali) - VIII-VI B.c.,Roma - Fori Imperial (settlement),"259",micro,8th-6th centuries BC,"3",settlement,,Roma - Fori Imperiali,,"276",,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248",Lazio,Roma,,Periodo Arcaico (Roma)
"266",CLA15,Via Sacra - undet. (Roma Fori Imperiali),Roma - Fori Imperial (sacred),"252",micro,,"3",sacred,,Roma - Fori Imperiali,,"276",,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248",Lazio,Roma,,Periodo Arcaico (Roma)
"268",CLA15,Atrium Vestae - Room 51 S sounding part of amphora fill,Roma - Fori Imperial (sacred),"252",micro,1st century BC,"3",sacred,,Roma - Fori Imperiali,,"276",,,"Costantini, L.,_Giorgi, J.A_2009_The charred plant remains_Supplements to the Memoirs of the American Academy in Rome, 8_ 125-151",Lazio,Roma,Età altoimperiale,Periodo Imperiale (Roma)
"269",CLA15,Atrium Vestae - Room 51 N sounding (100% fill of amphora),Roma - Fori Imperial (sacred),"252",micro,1st century BC,"3",sacred,,Roma - Fori Imperiali,,"276",,,"Costantini, L.,_Giorgi, J.A_2009_The charred plant remains_Supplements to the Memoirs of the American Academy in Rome, 8_ 125-151",Lazio,Roma,Età altoimperiale,Periodo Imperiale (Roma)
"273",CLA15,Atrium Vestae - Room 49 E dolium fill around pot,Roma - Fori Imperial (sacred),"252",micro,1st century BC,"3",sacred,,Roma - Fori Imperiali,,"276",,,"Costantini, L.,_Giorgi, J.A_2009_The charred plant remains_Supplements to the Memoirs of the American Academy in Rome, 8_ 125-151",Lazio,Roma,Età altoimperiale,Periodo Imperiale (Roma)
"277",CLA15,S. Omobono - undet. (Roma Fori Imperiali),Roma - Fori Imperial (sacred),"252",micro,8th century BC,"3",sacred,,Roma - Fori Imperiali,,"276",,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248",Lazio,Roma,,Periodo Arcaico (Roma)
"288",CLA17,Pit VI,Roma - Foro Romano - Sepolcreto Arcaico (funerary),"286",micro,8th-6th centuries BC,"3",funerary,,Roma - Foro Romano - Sepolcreto Arcaico,,"278",,,"Van Kampen, I.,_Rathje, A.,_Celant, A.,_Follieri, M.,_De GrossiI Mazzorin, J.,_Minniti, C._2005_The pre-Republican habitation layers of the Via sacra in Giacomo Boni’s excavation of the sepolcreto arcaico_Papers in Italian Archaeology VI, Communities and Settlements from the Neolithic to the Early Medieval Period (Vol. 1452)_745-753",Lazio,Roma,,Periodo Arcaico (Roma)
"300",CLA20,Saggio W - Terreni di occlusione naturale delle fogne della Domus Tiberiana,Roma - Palatino - Tempio Magna Mater (sacred),"299",micro,second half of the 4th - second half to end of the 5th century AD,"3",sacred,,Roma - Palatino - Tempio Magna Mater,,"281",,,"Coletti, F.,_Celant, A.,_Pensabene Perez, P._2006_Ricerche archeologiche e paleoambientali sul Palatino tra l’età arcaica e la tardoantichità–primi risultati_Innovazioni tecnologiche per i beni culturali in Italia. Atti del convegno Pàtron_557-564",Lazio,Roma,,Tarda Antichità
"301",CLA20,Saggio V - Livelli sottostanti la cella del Santuario della Vittoria,Roma - Palatino - Tempio Magna Mater (sacred),"299",micro,294 BC,"3",sacred,,Roma - Palatino - Tempio Magna Mater,,"281",,,"Coletti, F.,_Celant, A.,_Pensabene Perez, P._2006_Ricerche archeologiche e paleoambientali sul Palatino tra l’età arcaica e la tardoantichità–primi risultati_Innovazioni tecnologiche per i beni culturali in Italia. Atti del convegno Pàtron_557-564",Lazio,Roma,Età tardoimperiale,Periodo Imperiale (Roma)
"307",CLA22,Ambiente I - undet. (Roma Sant'Omobono),Roma - Sant'Omobono (sacred),"10",micro,6th century BC,"3",sacred,,Roma - Sant'Omobono,,"283",,,"Costantini, L.,_Costantini Biasini, L._1989_ I vegetali dell’area sacra di S. Omobono. G. Pisani Sartorio, P. Virgili et G. Ioppolo (éd.), Il viver quotidiano in Roma arcaica_Materiali dagli scavi del Tempio Arcaico nell’area sacra di S. Omobono, Rome_61-64",Lazio,Roma,,Periodo Arcaico (Roma)
"310",CLA23,East sewer - undet. (Roma Colosseum),Roma - Colosseum (settlement),"308",micro,second half of the 4th century AD,"3",settlement,,Roma - Colosseum,,"284",,,"Celant, A.,_Follieri, M._1992_Archaeobotany of the East sewer of the Colosseum_OFP Informations ; Giachi; G.; Secci; M. M.; Pignatelli; O.; Gambogi; P.; Lippi; M. M.. 2010.0. ""The prehistoric pile-dwelling settlement of Stagno (Leghorn, Italy): wood and food resource exploitation""",Lazio,Roma,,Tarda Antichità
"311",CLA23,2 III B,Roma - Colosseum (settlement),"308",micro,second half of the 4th century AD,"3",settlement,,Roma - Colosseum,,"284",,,"Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34",Lazio,Roma,,Tarda Antichità
"312",CLA23,3 III B,Roma - Colosseum (settlement),"308",micro,second half of the 4th century AD,"3",settlement,,Roma - Colosseum,,"284",,,"Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34",Lazio,Roma,,Tarda Antichità
